,cross_val_dict,accuracy_dict,feature_importance_values,best_estimators
"Decision Tree Classifier tuned ['pclass', 'parch', 'family_size', 'is_alone', 'age_group_encoded', 'sex_encoded', 'embarked_encoded', 'fare_per_person_binned']",0.8072287411270462,0.7633587786259542,,"DecisionTreeClassifier(max_depth=75, min_samples_leaf=4, min_samples_split=9,
                       random_state=42)"
LightGBM Classifier basic,0.8072214978994641,0.7862595419847328,,
"XGBoost Classifier tuned ['pclass', 'parch', 'fare_per_person', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'fare_per_person_binned', 'fare', 'fare_per_person_scaled']",0.8072214978994641,0.7633587786259542,,"XGBClassifier(learning_rate=0.09767211400638387, max_depth=84, n_estimators=101,
              random_state=42)"
"LightGBM Classifier tuned ['pclass', 'parch', 'family_size', 'is_alone', 'age_group_encoded', 'sex_encoded', 'embarked_encoded', 'fare_per_person_binned']",0.8072214978994641,0.7480916030534351,,"LGBMClassifier(learning_rate=0.020584494295802447, max_depth=2,
               n_estimators=353, random_state=42, verbosity=0)"
"XGBoost Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size', 'sibsp', 'parch', 'fare_per_person', 'fare']",0.8072142546718817,0.7938931297709924,,"XGBClassifier(learning_rate=0.020584494295802447, max_depth=2, n_estimators=353,
              random_state=42)"
"LightGBM Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size', 'sibsp', 'parch', 'fare_per_person', 'fare']",0.8071997682167174,0.7786259541984732,,"LGBMClassifier(learning_rate=0.020584494295802447, max_depth=2,
               n_estimators=353, random_state=42, verbosity=0)"
"XGBoost Classifier tuned ['pclass', 'family_size', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'fare', 'fare_per_person_scaled']",0.8063740402723454,0.7862595419847328,,"XGBClassifier(learning_rate=0.020584494295802447, max_depth=2, n_estimators=353,
              random_state=42)"
"Decision Tree Classifier tuned ['family_size', 'is_alone', 'deck_encoded', 'age_group_encoded', 'title_categorical_encoded', 'sex_encoded', 'multiple_cabins', 'fare_per_person_binned']",0.8063667970447632,0.7938931297709924,,"DecisionTreeClassifier(max_depth=4, min_samples_leaf=18, min_samples_split=13,
                       random_state=42)"
"Voting Classifier Soft tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins']",0.8056027164685908,0.7862595419847328,,
"LightGBM Classifier tuned ['family_size', 'fare_per_person', 'is_alone', 'age_group_encoded', 'sex_encoded', 'embarked_encoded', 'fare_per_person_scaled']",0.8055265826452267,0.8015267175572519,,"LGBMClassifier(learning_rate=0.020584494295802447, max_depth=2,
               n_estimators=353, random_state=42, verbosity=0)"
"LightGBM Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size', 'sibsp']",0.8055120961900624,0.7938931297709924,,"LGBMClassifier(learning_rate=0.020584494295802447, max_depth=2,
               n_estimators=353, random_state=42, verbosity=0)"
"XGBoost Classifier tuned ['pclass', 'parch', 'family_size', 'is_alone', 'age_group_encoded', 'sex_encoded', 'embarked_encoded', 'fare_per_person_binned']",0.80550485296248,0.7862595419847328,,"XGBClassifier(learning_rate=0.020584494295802447, max_depth=2, n_estimators=353,
              random_state=42)"
"Random Forest Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size', 'sibsp', 'parch', 'fare_per_person', 'fare']",0.8046718817905258,0.7709923664122137,,"RandomForestClassifier(max_depth=53, max_features=0.9699098521619943,
                       min_samples_leaf=12, min_samples_split=7,
                       n_estimators=395, random_state=42)"
"Random Forest Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size', 'sibsp', 'parch', 'fare_per_person']",0.8046646385629437,0.7709923664122137,,"RandomForestClassifier(max_depth=88, max_features=0.33370861113902184,
                       min_samples_leaf=8, min_samples_split=4,
                       n_estimators=671, random_state=42)"
"Decision Tree Classifier tuned ['family_size', 'fare_per_person', 'is_alone', 'age_group_encoded', 'sex_encoded', 'embarked_encoded', 'fare_per_person_scaled']",0.8046573953353615,0.7709923664122137,,"DecisionTreeClassifier(max_depth=4, min_samples_leaf=18, min_samples_split=13,
                       random_state=42)"
"XGBoost Classifier tuned ['family_size', 'fare_per_person', 'is_alone', 'age_group_encoded', 'sex_encoded', 'embarked_encoded', 'fare_per_person_scaled']",0.8046501521077791,0.8015267175572519,,"XGBClassifier(learning_rate=0.020584494295802447, max_depth=2, n_estimators=353,
              random_state=42)"
"KNN Classifier tuned ['sex_encoded', 'pclass', 'deck_encoded', 'title_categorical_encoded', 'multiple_cabins', 'family_size']",0.8046356656526148,0.7709923664122137,,KNeighborsClassifier(n_neighbors=8)
Voting Classifier Hard basic,0.8038316673909895,0.7480916030534351,,
